PASO_CRUCE,CANTIDAD
CRISTO REDENTOR (USPALLATA),66909
AERO EZEIZA,64345
PASO DE LOS LIBRES,49095
GUALEGUAYCHU - FRAY BENTOS,26277
INTEGRACION AUSTRAL,19591
PTE. SAN IGNACIO DE LOYOLA,18684
PUERTO SAN LORENZO,15795
PTE INT SANTO TOME - SAO BORJA,13902
SAN SEBASTIAN  ( USHUAIA ),12253
PTE. INT. TANCREDO NEVES,10832
SALVADOR MAZZA - YACUIBA,10618
PASO PINO HACHADO,8511
PUERTO SAN MARTIN,7409
PUERTO BUENOS AIRES,6881
PUERTO ROSARIO,6531
PASO CARDENAL ANTONIO SAMORE,6272
LA QUIACA - VILLAZON,5939
PASO BERNARDO DE IRIGOYEN,5849
PASO DE JAMA,5235
PUERTO BAHIA BLANCA,5204
PUERTO PASO DE LA BARCA (PF),5201
PTE. SAN ROQUE GONZALEZ DE SAN,5105
PUERTO PILCOMAYO (PF),5053
PTE. INT. SALTO GRANDE,4986
PUERTO ZARATE,3565
PUERTO LA PLATA,3385
CRISTO REDENTOR (HORCONES),2679
HUEMULES,2262
PUERTO CAMPANA,1975
BUQUEBUS,1915
PUERTO QUEQUEN,1852
AERO PALOMAR,1722
COLON - PAYSANDU,1670
PASO AGUAS BLANCAS,1432
PUERTO SAN NICOLAS,1128
PUERTO ESCOBAR,903
AERO SAN FERNANDO,817
PASO EL CONDADO LAS MAMORAS,617
PUERTO MADRYN (ALMIRANTE STORN,501
PUERTO SAN ANTONIO ESTE,484
TERMINAL PORTUARIA DEL GUAZU,471
PUERTO COMODORO RIVADAVIA,419
PUERTO RAMALLO,411
PUERTO SAN PEDRO,406
AERO JORGE NEWBERY,369
PASO SICO,354
PUERTO MAR DEL PLATA,226
PUERTO VILLA CONSTITUCION,183
PASO PEHUENCHE,165
PUERTO CALETA OLIVIA,159
PUERTO ALBA POSSE (PF),153
AERO MENDOZA,147
PUERTO CORRIENTES,123
PUERTO IBICUY,79
PUERTO RIO GALLEGOS,76
PUERTO DESEADO,74
AERO EL CALAFATE,74
AERO SALTA,74
PUERTO IGUAZU - TRES FRONTERAS,62
AERO SAN JUAN,51
PUERTO SAN ANTONIO,49
PUERTO DE LA PAZ,43
PUERTO GOYA,41
PUERTO CONCEPCION DEL URUGUAY,38
AERO BARILOCHE,29
PUERTO BARRANQUERAS,26
AERO MAR DEL PLATA,25
PUERTO DE PARANA,25
PUERTO SANTA FE,22
PUERTO MADRYN,20
AERO CORDOBA,20
AERO EZEIZA - FBO,16
PUERTO WANDA,15
PUERTO USHUAIA,13
AERO NEUQUEN,12
PUERTO FORMOSA,11
RIO FUTALEUFU ( RIO GRANDE ),11
PUERTO SAN FERNANDO,11
AERO ROSARIO,10
PUERTO ALVEAR (PF),10
PUERTO DIAMANTE,9
AERO CORRIENTES,8
AERO BENJAMIN MATIENZO (TUCUMA,7
PUERTO DE SAN ISIDRO,5
ANDRESITO - CAPANEMA,5
PUERTO QUILMES,4
AERO CATARATAS DEL IGUAZU,4
PUERTO LEONI,3
GRL BELGRANO - GRL BRUGUEZ,3
PUERTO GUAZU GUAZUCITO,2
PUERTO ELDORADO,1
PUERTO YAHAPE,1
PUERTO ISLA MARTIN GARCIA,1
