PASO_CRUCE,CANTIDAD
PTE. INT. TANCREDO NEVES,3187521
AERO EZEIZA,2822432
PTE. SAN ROQUE GONZALEZ DE SAN,2741076
PASO DE LOS LIBRES,1735092
SALVADOR MAZZA - YACUIBA,1058756
AERO JORGE NEWBERY,954655
GUALEGUAYCHU - FRAY BENTOS,869272
PTE. SAN IGNACIO DE LOYOLA,696143
COLON - PAYSANDU,662944
CRISTO REDENTOR (HORCONES),554286
PASO CARDENAL ANTONIO SAMORE,494791
PTE. INT. SALTO GRANDE,444108
ROU - COLONIA,436955
CRISTO REDENTOR (LIBERTADORES),419539
PTE INT SANTO TOME - SAO BORJA,413180
BUQUEBUS,401408
TERMINAL CRUCEROS PTO. BS. AS.,397649
POSADAS - ENCARNACION (FFCC),395694
PASO AGUAS BLANCAS,371829
LA QUIACA - VILLAZON,348162
PUERTO CHALANAS,329703
AERO CORDOBA,315585
PASO BERNARDO DE IRIGOYEN,267397
SAN SEBASTIAN  ( USHUAIA ),215494
PASO PINO HACHADO,192100
PASO MAMUIL MALAL,184089
MONTE AYMOND,162387
AERO ROSARIO,157729
AERO MENDOZA,149099
PUERTO USHUAIA,148956
INTEGRACION AUSTRAL,142537
PUERTO FORMOSA,135068
PASO DE JAMA,134894
PASO DOROTEA,121120
ROU - MONTEVIDEO,115033
PASO JEINIMENI - CHILE CHICO,110979
COLONIA EXPRESS BAIRES,108755
PASO RIO DON GUILLERMO,100066
CRISTO REDENTOR (USPALLATA),84093
PUERTO MADRYN,83848
RIO FUTALEUFU ( RIO GRANDE ),81792
PUERTO ALBA POSSE (PF),80285
PASO AGUA NEGRA,78432
PTO LIB. GRAL. SAN MARTIN (PF),69880
PASO PEHUENCHE,68726
PUERTO SAN ANTONIO,67037
PUERTO PASO DE LA BARCA (PF),63521
PUERTO PILCOMAYO (PF),59462
PASO ICALMA,53974
EL SOBERBIO - P.SOBERBO (PF),50694
ANDRESITO - CAPANEMA,50309
PUERTO MONTECARLO,42087
PUERTO IGUAZU - TRES FRONTERAS,42076
PASARELA LA FRATERNIDAD,41623
PEPIRI GUAZU - SAO MIGUEL,39499
PUERTO TIGRE,37710
PUERTO WANDA,36224
PASO HUA - HUM,34917
PASO LAURITA CASAS VIEJAS,33019
AERO SALTA,29898
PUERTO COLONIA CANO,28552
YACIRETA (CTES),28323
PUERTO MANI,27609
PASO COIHAIQUE,26155
AERO BENJAMIN MATIENZO (TUCUMA,23043
PANAMBI - VERACRUZ,17908
PUERTO ELDORADO,16750
PASO RIO ENCUENTRO,16170
PASO SAN FRANCISCO,15791
PASO PEREZ ROSALES,14291
PUERTO MONTE CASEROS,14115
PUERTO MADRYN (ALMIRANTE STORN,13061
AERO SAN FERNANDO,11876
PUERTO BUENOS AIRES,11472
PUERTO PIRAY,11152
AERO NEUQUEN,11140
AERO SAN JUAN,10699
PUERTO SAN LORENZO,9888
PUERTO ITATI,9598
AERO BARILOCHE,7364
PUERTO DE SAN ISIDRO,7228
PUERTO CANDELARIA,7129
PUERTO GUAZU GUAZUCITO,6726
PASO SICO,6663
PUERTO LA PLATA,6541
PUERTO SAN MARTIN,5766
PUERTO ROSARIO,5196
PUERTO ZARATE,5194
PUERTO ALVEAR (PF),4528
PUERTO PASO DE LA PATRIA,4193
PUERTO BAHIA BLANCA,4130
PUERTO OLIVOS,4043
AERO PUBLICO DE USHUAIA,3726
R. BELLA VISTA (EX RADMAN),3541
GRL BELGRANO - GRL BRUGUEZ,3125
PUERTO SANTA ANA,2803
PUERTO YAHAPE,2782
PUERTO CAMPANA,2495
PASO PIRCAS NEGRAS,2414
AERO JUJUY,2189
