PASO_CRUCE,CANTIDAD
AERO EZEIZA,2949664
PTE. INT. TANCREDO NEVES,2765577
PTE. SAN ROQUE GONZALEZ DE SAN,2202025
SALVADOR MAZZA - YACUIBA,923252
PASO DE LOS LIBRES,880025
COLON - PAYSANDU,563134
PUERTO CHALANAS,543288
PTE. SAN IGNACIO DE LOYOLA,490759
GUALEGUAYCHU - FRAY BENTOS,421207
PTE. INT. SALTO GRANDE,400321
BUQUEBUS,291191
ROU - COLONIA,267108
LA QUIACA - VILLAZON,240245
PTE INT SANTO TOME - SAO BORJA,227500
PASO BERNARDO DE IRIGOYEN,222843
PASO AGUAS BLANCAS,217216
CRISTO REDENTOR (LIBERTADORES),182851
PASO CARDENAL ANTONIO SAMORE,182286
AERO CORDOBA,176654
TERMINAL CRUCEROS PTO. BS. AS.,175504
CRISTO REDENTOR (HORCONES),169891
PUERTO FORMOSA,145286
AERO MENDOZA,125648
SAN SEBASTIAN  ( USHUAIA ),109667
COLONIA EXPRESS BAIRES,94672
AERO JORGE NEWBERY,84884
PASO DOROTEA,84434
PASO RIO DON GUILLERMO,84346
ROU - MONTEVIDEO,84097
INTEGRACION AUSTRAL,83176
CRISTO REDENTOR (USPALLATA),81882
PUERTO USHUAIA,77720
AERO ROSARIO,75273
POSADAS - ENCARNACION (FFCC),74493
PASO PINO HACHADO,72802
PASO MAMUIL MALAL,72393
AERO PALOMAR,71490
MONTE AYMOND,71359
PASO JEINIMENI - CHILE CHICO,60049
PASARELA LA FRATERNIDAD,47399
ANDRESITO - CAPANEMA,47391
PUERTO ALBA POSSE (PF),46925
PASO DE JAMA,46691
PTO LIB. GRAL. SAN MARTIN (PF),43689
EL SOBERBIO - P.SOBERBO (PF),42331
PUERTO SAN ANTONIO,38734
RIO FUTALEUFU ( RIO GRANDE ),37370
YACIRETA (CTES),36614
PUERTO PASO DE LA BARCA (PF),36274
PUERTO PILCOMAYO (PF),32997
PUERTO IGUAZU - TRES FRONTERAS,28555
PEPIRI GUAZU - SAO MIGUEL,28040
PASO LAURITA CASAS VIEJAS,27836
PUERTO MADRYN,26316
PUERTO COLONIA CANO,22395
PUERTO WANDA,18001
PUERTO MONTECARLO,17461
PANAMBI - VERACRUZ,16651
PASO PEHUENCHE,15911
PASO ICALMA,15906
AERO SALTA,13041
HUEMULES,12824
PUERTO MANI,12787
PUERTO SAN LORENZO,12465
PUERTO ELDORADO,12396
AERO BENJAMIN MATIENZO (TUCUMA,12291
PASO PEREZ ROSALES,10436
PUERTO ITATI,10122
PUERTO BUENOS AIRES,9936
PASO RIO ENCUENTRO,9116
PASO HUA - HUM,9100
AERO SAN FERNANDO,8251
PUERTO PIRAY,6734
PUERTO SAN MARTIN,6504
PASO COIHAIQUE,6474
PUERTO TIGRE,5862
PUERTO ROSARIO,5689
PUERTO LA PLATA,5346
PUERTO ZARATE,5140
PUERTO ALVEAR (PF),5128
PUERTO CANDELARIA,4945
PUERTO BAHIA BLANCA,4843
PASO EL CONDADO LAS MAMORAS,4805
PASO SAN FRANCISCO,4658
PUERTO DE SAN ISIDRO,4513
AERO BARILOCHE,4411
PUERTO GUAZU GUAZUCITO,3862
PUERTO PASO DE LA PATRIA,3414
AERO CATARATAS DEL IGUAZU,3396
GRL BELGRANO - GRL BRUGUEZ,3306
PASO AGUA NEGRA,2776
PUERTO OLIVOS,2682
PUERTO YAHAPE,2494
PUERTO ISLA MARTIN GARCIA,2354
ING. PALLAVICINI - IBAÑEZ,2248
PASO SICO,2236
AERO PUBLICO DE USHUAIA,2127
PUERTO LIBERTAD,2083
PUERTO OASIS,2025
PUERTO SANTA ANA,1970
