PASO_CRUCE,CANTIDAD
AERO EZEIZA,2950551
PTE. INT. TANCREDO NEVES,2526968
PTE. SAN ROQUE GONZALEZ DE SAN,2099318
SALVADOR MAZZA - YACUIBA,836030
PASO DE LOS LIBRES,812396
PUERTO CHALANAS,534965
PTE. SAN IGNACIO DE LOYOLA,450868
COLON - PAYSANDU,447889
PTE. INT. SALTO GRANDE,312975
GUALEGUAYCHU - FRAY BENTOS,302760
PTE INT SANTO TOME - SAO BORJA,246259
PASO AGUAS BLANCAS,232029
LA QUIACA - VILLAZON,221324
PASO BERNARDO DE IRIGOYEN,215220
BUQUEBUS,213145
ROU - COLONIA,199697
AERO CORDOBA,168742
POSADAS - ENCARNACION (FFCC),155602
CRISTO REDENTOR (HORCONES),148509
PASO CARDENAL ANTONIO SAMORE,140446
PUERTO FORMOSA,138540
AERO MENDOZA,127523
CRISTO REDENTOR (LIBERTADORES),108789
AERO ROSARIO,96194
ROU - MONTEVIDEO,77692
CRISTO REDENTOR (USPALLATA),75828
AERO JORGE NEWBERY,70661
PASO PINO HACHADO,66811
PASO MAMUIL MALAL,63650
SAN SEBASTIAN  ( USHUAIA ),60682
PASO DOROTEA,55894
AERO PALOMAR,55577
INTEGRACION AUSTRAL,50896
COLONIA EXPRESS BAIRES,50700
MONTE AYMOND,48621
ANDRESITO - CAPANEMA,46768
PUERTO SAN ANTONIO,43254
PASO JEINIMENI - CHILE CHICO,42608
PUERTO ALBA POSSE (PF),41543
EL SOBERBIO - P.SOBERBO (PF),41192
PTO LIB. GRAL. SAN MARTIN (PF),39282
PUERTO PASO DE LA BARCA (PF),36641
PASO DE JAMA,35431
PEPIRI GUAZU - SAO MIGUEL,31397
RIO FUTALEUFU ( RIO GRANDE ),30054
PASO LAURITA CASAS VIEJAS,24245
PUERTO WANDA,23447
PUERTO IGUAZU - TRES FRONTERAS,22566
PASO RIO DON GUILLERMO,21503
PUERTO MONTECARLO,20049
AERO SALTA,17396
PASO ICALMA,13823
PUERTO MANI,13157
PANAMBI - VERACRUZ,13029
PUERTO SAN LORENZO,12358
AERO BENJAMIN MATIENZO (TUCUMA,12071
HUEMULES,11313
PUERTO ELDORADO,11172
PASARELA LA FRATERNIDAD,10932
AERO NEUQUEN,10246
PASO PEHUENCHE,9786
PUERTO COLONIA CANO,9388
PUERTO BUENOS AIRES,9212
TERMINAL CRUCEROS PTO. BS. AS.,9019
PUERTO SAN MARTIN,8431
PUERTO TIGRE,8281
PUERTO ITATI,8243
PASO RIO ENCUENTRO,7136
PUERTO PIRAY,7101
PUERTO ROSARIO,6348
PUERTO BAHIA BLANCA,6082
PASO COIHAIQUE,5752
AERO SAN FERNANDO,5694
PASO HUA - HUM,5246
PUERTO CANDELARIA,5210
PUERTO ZARATE,5154
PUERTO LA PLATA,5026
PASO PEREZ ROSALES,4818
PASO EL CONDADO LAS MAMORAS,4342
YACIRETA (CTES),3971
PUERTO ALVEAR (PF),3938
PUERTO PILCOMAYO (PF),3725
PUERTO PASO DE LA PATRIA,3353
PASO SAN FRANCISCO,3281
PUERTO DE SAN ISIDRO,3232
PASO AGUA NEGRA,2986
PUERTO GUAZU GUAZUCITO,2841
PUERTO YAHAPE,2351
AERO BARILOCHE,2289
PUERTO QUEQUEN,2165
GRL BELGRANO - GRL BRUGUEZ,2003
PUERTO CAMPANA,1960
PUERTO SANTA ANA,1887
PUERTO MONTE CASEROS,1794
AERO EZEIZA - FBO,1771
PUERTO LIBERTAD,1766
PUERTO OLIVOS,1757
PUERTO OASIS,1543
PUERTO USHUAIA,1468
ING. PALLAVICINI - IBAÑEZ,1371
