PASO_CRUCE,CANTIDAD
AERO EZEIZA,2670843
PTE. INT. TANCREDO NEVES,2414767
PTE. SAN ROQUE GONZALEZ DE SAN,1940124
PASO DE LOS LIBRES,1174693
COLON - PAYSANDU,730985
SALVADOR MAZZA - YACUIBA,686253
GUALEGUAYCHU - FRAY BENTOS,544148
TERMINAL CRUCEROS PTO. BS. AS.,480446
PTE. SAN IGNACIO DE LOYOLA,453446
PTE. INT. SALTO GRANDE,438585
ROU - COLONIA,307995
PASO CARDENAL ANTONIO SAMORE,299608
PUERTO CHALANAS,294606
PTE INT SANTO TOME - SAO BORJA,294006
PASO AGUAS BLANCAS,267717
CRISTO REDENTOR (LIBERTADORES),265084
LA QUIACA - VILLAZON,261771
CRISTO REDENTOR (HORCONES),251686
BUQUEBUS,248448
PASO BERNARDO DE IRIGOYEN,233124
PUERTO USHUAIA,180307
AERO CORDOBA,172713
SAN SEBASTIAN  ( USHUAIA ),162701
PASO MAMUIL MALAL,128825
PASO PINO HACHADO,113783
PUERTO FORMOSA,113429
PUERTO MADRYN,108697
MONTE AYMOND,107517
PASO RIO DON GUILLERMO,102961
INTEGRACION AUSTRAL,97063
AERO MENDOZA,96670
PASO DOROTEA,96613
COLONIA EXPRESS BAIRES,96209
ROU - MONTEVIDEO,95924
PASO JEINIMENI - CHILE CHICO,91005
AERO ROSARIO,84293
AERO PALOMAR,83067
AERO JORGE NEWBERY,82039
PEPIRI GUAZU - SAO MIGUEL,78717
CRISTO REDENTOR (USPALLATA),78168
PASO DE JAMA,66709
RIO FUTALEUFU ( RIO GRANDE ),63037
PUERTO ALBA POSSE (PF),52350
PASO PEHUENCHE,47548
POSADAS - ENCARNACION (FFCC),45817
PASO ICALMA,45405
YACIRETA (CTES),41014
PTO LIB. GRAL. SAN MARTIN (PF),39559
PUERTO PASO DE LA BARCA (PF),37271
PASO HUA - HUM,37184
EL SOBERBIO - P.SOBERBO (PF),37045
PASARELA LA FRATERNIDAD,36606
ANDRESITO - CAPANEMA,32575
PASO AGUA NEGRA,27736
PUERTO PILCOMAYO (PF),27613
PUERTO COLONIA CANO,26330
PUERTO SAN ANTONIO,25605
PUERTO IGUAZU - TRES FRONTERAS,22697
PASO LAURITA CASAS VIEJAS,21795
HUEMULES,16590
AERO SALTA,15927
PUERTO MONTECARLO,14359
PUERTO WANDA,14172
AERO BENJAMIN MATIENZO (TUCUMA,12812
PASO RIO ENCUENTRO,12265
PUERTO MANI,12135
PANAMBI - VERACRUZ,11743
PUERTO ELDORADO,11500
PASO COIHAIQUE,11275
PUERTO SAN LORENZO,10440
PASO PEREZ ROSALES,10375
PUERTO BUENOS AIRES,9598
AERO SAN FERNANDO,8794
PASO SAN FRANCISCO,8378
PUERTO ITATI,8265
PUERTO DE SAN ISIDRO,7081
PUERTO TIGRE,7078
PUERTO LA PLATA,6213
PASO EL CONDADO LAS MAMORAS,5719
PUERTO SAN MARTIN,5686
PUERTO ROSARIO,5315
PUERTO PIRAY,5199
AERO PUBLICO DE USHUAIA,4920
PUERTO ZARATE,4794
PUERTO ALVEAR (PF),4547
PUERTO GUAZU GUAZUCITO,4467
PUERTO BAHIA BLANCA,4270
PUERTO CANDELARIA,4118
PASO PICHACHEN,4103
ROBALLOS,3908
AERO BARILOCHE,3726
PUERTO OLIVOS,3695
PUERTO YAHAPE,3472
ING. PALLAVICINI - IBAÑEZ,3458
PUERTO PASO DE LA PATRIA,2863
AERO CATARATAS DEL IGUAZU,2796
R. BELLA VISTA (EX RADMAN),2708
GRL BELGRANO - GRL BRUGUEZ,2265
PASO SICO,2036
PASO TRIANA,1967
