PASO_CRUCE,CANTIDAD
AERO EZEIZA,3010720
PTE. INT. TANCREDO NEVES,2876889
PTE. SAN ROQUE GONZALEZ DE SAN,2231207
PASO DE LOS LIBRES,1199367
SALVADOR MAZZA - YACUIBA,847086
GUALEGUAYCHU - FRAY BENTOS,634223
COLON - PAYSANDU,608166
AERO JORGE NEWBERY,546021
PTE. SAN IGNACIO DE LOYOLA,504410
TERMINAL CRUCEROS PTO. BS. AS.,455680
PTE. INT. SALTO GRANDE,364440
CRISTO REDENTOR (HORCONES),348313
PASO CARDENAL ANTONIO SAMORE,346681
PTE INT SANTO TOME - SAO BORJA,322835
ROU - COLONIA,299152
PASO BERNARDO DE IRIGOYEN,283913
BUQUEBUS,281702
PUERTO CHALANAS,280352
CRISTO REDENTOR (LIBERTADORES),267636
AERO CORDOBA,266832
LA QUIACA - VILLAZON,262605
PASO AGUAS BLANCAS,255178
POSADAS - ENCARNACION (FFCC),215182
PUERTO USHUAIA,176224
SAN SEBASTIAN  ( USHUAIA ),171505
AERO MENDOZA,165954
AERO ROSARIO,145187
PASO MAMUIL MALAL,143486
PASO PINO HACHADO,139156
PUERTO FORMOSA,133800
MONTE AYMOND,123123
PUERTO MADRYN,121400
PASO DOROTEA,117071
ROU - MONTEVIDEO,110662
INTEGRACION AUSTRAL,106278
PASO RIO DON GUILLERMO,106264
PASO JEINIMENI - CHILE CHICO,101686
CRISTO REDENTOR (USPALLATA),81760
PEPIRI GUAZU - SAO MIGUEL,80008
PASO DE JAMA,77645
AERO PALOMAR,67723
COLONIA EXPRESS BAIRES,66731
RIO FUTALEUFU ( RIO GRANDE ),58054
PUERTO ALBA POSSE (PF),54623
PTO LIB. GRAL. SAN MARTIN (PF),47718
PASO PEHUENCHE,46369
PASARELA LA FRATERNIDAD,46166
PUERTO SAN ANTONIO,44755
PUERTO PASO DE LA BARCA (PF),44347
PASO ICALMA,43407
EL SOBERBIO - P.SOBERBO (PF),42766
PASO AGUA NEGRA,41703
PUERTO PILCOMAYO (PF),38891
ANDRESITO - CAPANEMA,38752
PASO HUA - HUM,36083
AERO SALTA,31319
PUERTO IGUAZU - TRES FRONTERAS,30321
PUERTO COLONIA CANO,29330
AERO BENJAMIN MATIENZO (TUCUMA,28632
PASO LAURITA CASAS VIEJAS,25670
PUERTO TIGRE,24382
PUERTO WANDA,22479
HUEMULES,21449
PUERTO MONTECARLO,21444
PUERTO MANI,16272
PANAMBI - VERACRUZ,15858
PUERTO ELDORADO,13349
PASO COIHAIQUE,13179
PASO PEREZ ROSALES,13174
PASO RIO ENCUENTRO,10864
PUERTO ITATI,10355
PUERTO BUENOS AIRES,10197
PASO SAN FRANCISCO,10051
PUERTO SAN LORENZO,9686
AERO SAN FERNANDO,9264
AERO NEUQUEN,9116
PUERTO PIRAY,7743
PUERTO DE SAN ISIDRO,7055
PUERTO SAN MARTIN,6524
PUERTO MADRYN (ALMIRANTE STORN,6117
AERO PUBLICO DE USHUAIA,5686
PASO EL CONDADO LAS MAMORAS,5641
PUERTO LA PLATA,5565
PUERTO CANDELARIA,5497
PUERTO ROSARIO,5479
PUERTO BAHIA BLANCA,4738
PUERTO ZARATE,4714
YACIRETA (CTES),4499
PUERTO GUAZU GUAZUCITO,4496
PUERTO OLIVOS,3481
PUERTO ALVEAR (PF),3154
PUERTO PASO DE LA PATRIA,3117
ROBALLOS,3093
PUERTO YAHAPE,2935
PASO SICO,2674
PASO TRIANA,2645
GRL BELGRANO - GRL BRUGUEZ,2605
R. BELLA VISTA (EX RADMAN),2467
PUERTO MONTE CASEROS,2184
PASO PICHACHEN,2163
