pais_id,pais,provincia_id,provincia,anio,familia,genero,especie,especies_agrupadas,rollizos,carbon,lenia,postes,otros,todos_los_productos
32,Argentina,62,Rio Negro,2011,Cupressáceas,Cupressus,Ciprés,Coniferas,1986,0,50,21,0,2057
32,Argentina,26,Chubut,2012,Cupressáceas,Cupressus,Ciprés,Coniferas,51,0,0,40,5,96
32,Argentina,26,Chubut,2013,Cupressáceas,Cupressus,Ciprés,Coniferas,3003,0,673,607,1132,5415
32,Argentina,62,Rio Negro,2013,Cupressáceas,Cupressus,Ciprés,Coniferas,2557,0,0,23,0,2580
32,Argentina,26,Chubut,2014,Cupressáceas,Cupressus,Ciprés,Coniferas,2591,0,251,382,717,3941
32,Argentina,58,Neuquen,2014,Cupressáceas,Cupressus,Ciprés,Coniferas,14,0,0,0,0,14
32,Argentina,58,Neuquen,2015,Cupressáceas,Cupressus,Ciprés,Coniferas,0,0,0,9,0,9
32,Argentina,58,Neuquen,2016,Cupressáceas,Cupressus,Ciprés,Coniferas,28,0,0,0,0,28
32,Argentina,26,Chubut,2017,Cupressáceas,Cupressus,Ciprés,Coniferas,3039,0,0,0,0,3039
32,Argentina,6,Buenos Aires,1998,Fabáceas,Robinia,Acacia blanca,Otras,0,0,0,2287,0,2287
32,Argentina,14,Cordoba,2012,Fabáceas,Gleditsia,Acacia negra,Otras,0,0,30,0,0,30
32,Argentina,42,La Pampa,2013,Fabáceas,Gleditsia,Acacia negra,Otras,0,0,0,25,0,25
32,Argentina,58,Neuquen,2013,Fabáceas,Robinia,Acacia blanca,Otras,0,0,0,3,0,3
32,Argentina,62,Rio Negro,2013,Fabáceas,Robinia,Acacia blanca,Otras,4,0,0,1,0,5
32,Argentina,42,La Pampa,2014,Fabáceas,Gleditsia,Acacia negra,Otras,0,0,0,25,0,25
32,Argentina,62,Rio Negro,2014,Fabáceas,Robinia,Acacia blanca,Otras,0,0,0,9,0,9
32,Argentina,42,La Pampa,2015,Fabáceas,Gleditsia,Acacia negra,Otras,11,0,0,76,0,87
32,Argentina,62,Rio Negro,2015,Fabáceas,Robinia,Acacia blanca,Otras,0,0,0,27,0,27
32,Argentina,6,Buenos Aires,2016,Fabáceas,Robinia,Acacia blanca,Otras,0,2,13,0,0,15
32,Argentina,14,Cordoba,2016,Fabáceas,Robinia,Acacia blanca,Otras,0,0,12,0,0,12
32,Argentina,42,La Pampa,2016,Fabáceas,Gleditsia,Acacia negra,Otras,0,0,0,55,0,55
32,Argentina,62,Rio Negro,2016,Fabáceas,Robinia,Acacia blanca,Otras,0,0,0,27,0,27
32,Argentina,6,Buenos Aires,2017,Fabáceas,Robinia,Acacia blanca,Otras,151,0,97,15,0,263
32,Argentina,62,Rio Negro,2017,Fabáceas,Robinia,Acacia blanca,Otras,180,0,0,88,0,268
32,Argentina,50,Mendoza,1998,Meliáceas,Melia,Paraiso,Otras,16,0,0,0,0,16
32,Argentina,54,Misiones,1998,Meliáceas,Melia,Paraiso,Otras,26523,0,0,0,0,26523
